"Archivo","Ruta","Línea","Contenido","Patrón"
"config.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","88","if (strlen($jwt) < 32) error_log('ADVERTENCIA: JWT_SECRET < 32 caracteres');","strlen\s*\(\s*\$\w+\s*\)"
"config.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","88","if (strlen($jwt) < 32) error_log('ADVERTENCIA: JWT_SECRET < 32 caracteres');","if\s*\(\s*strlen"
"input-sanitizer.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","77","$text = substr($text, 0, $maxLength);","substr\s*\("
"input-sanitizer.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","164","if (strlen($password) < 3) {","strlen\s*\(\s*\$\w+\s*\)"
"input-sanitizer.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","164","if (strlen($password) < 3) {","if\s*\(\s*strlen"
"input-sanitizer.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","166","} else if (strlen($password) > 255) {","strlen\s*\(\s*\$\w+\s*\)"
"input-sanitizer.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","166","} else if (strlen($password) > 255) {","if\s*\(\s*strlen"
"password-policy.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","55","if (strlen($password) < self::MIN_LENGTH) {","strlen\s*\(\s*\$\w+\s*\)"
"password-policy.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","55","if (strlen($password) < self::MIN_LENGTH) {","if\s*\(\s*strlen"
"password-policy.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","59","if (strlen($password) > self::MAX_LENGTH) {","strlen\s*\(\s*\$\w+\s*\)"
"password-policy.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","59","if (strlen($password) > self::MAX_LENGTH) {","if\s*\(\s*strlen"
"password-policy.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","114","for ($i = 0; $i < strlen($password) - 3; $i++) {","strlen\s*\(\s*\$\w+\s*\)"
"password-policy.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","141","return ($maxRepeat / strlen($password)) > 0.5;","strlen\s*\(\s*\$\w+\s*\)"
"password-policy.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","150","$length = strlen($password);","strlen\s*\(\s*\$\w+\s*\)"
"password-policy.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","180","if (strlen($password) < 12) {","strlen\s*\(\s*\$\w+\s*\)"
"password-policy.php","C:\laragon\www\bubble_of_talents_1.0\backend\config","180","if (strlen($password) < 12) {","if\s*\(\s*strlen"
"debug_prompt.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","99","echo 'ÃƒÂ°Ã…Â¸Ã¢â‚¬Å“Ã‚Â Longitud total: ' . strlen($prompt) . "" caracteres\n"";","strlen\s*\(\s*\$\w+\s*\)"
"debug_prompt.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","101","echo 'ÃƒÂ°Ã…Â¸Ã¢â‚¬â„¢Ã‚Â¾ TamaÃƒÆ’Ã‚Â±o del contenido del CV: ' . strlen($content) . "" caracteres\n\n"";","strlen\s*\(\s*\$\w+\s*\)"
"debug_prompt.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","116","echo substr($prompt, 0, 500) . ""...\n\n"";","substr\s*\("
"debug_prompt.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","120","echo '...' . substr($prompt, -300) . ""\n\n"";","substr\s*\("
"extract-cv-stage1.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","64","$cvContent = substr($cvContent, 0, 3000); // Limitar a 3000 caracteres","substr\s*\("
"extract-cv-stage1.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","123","'raw' => substr($response, 0, 200)","substr\s*\("
"extract-cv-stage1.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","147","'original_size' => strlen($cvContent),","strlen\s*\(\s*\$\w+\s*\)"
"extract-cv-stage1.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","148","'clean_size' => strlen($cleanContent),","strlen\s*\(\s*\$\w+\s*\)"
"extract-cv-stage1.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","149","'reduction_ratio' => round((1 - strlen($cleanContent) / strlen($cvContent)) * 100, 1) . '%',","strlen\s*\(\s*\$\w+\s*\)"
"extract-cv-stage2.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","156","'raw' => substr($response, 0, 200)","substr\s*\("
"extract-cv-stage2.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","168","$jsonString = substr($jsonResponse, $jsonStart, $jsonEnd - $jsonStart + 1);","substr\s*\("
"extract-cv-stage2.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","203","'clean_size' => strlen($cleanContent),","strlen\s*\(\s*\$\w+\s*\)"
"extract-cv-stage2.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","204","'json_size' => strlen($finalJson),","strlen\s*\(\s*\$\w+\s*\)"
"resume-cv.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","119","'raw' => substr($response, 0, 200)","substr\s*\("
"resume-cv.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","142","'original_size' => strlen($cvContent),","strlen\s*\(\s*\$\w+\s*\)"
"resume-cv.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","143","'resumen_size' => strlen($resumen),","strlen\s*\(\s*\$\w+\s*\)"
"resume-cv.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","144","'compression_ratio' => round((1 - strlen($resumen) / strlen($cvContent)) * 100, 1) . '%'","strlen\s*\(\s*\$\w+\s*\)"
"test_complete_system.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","79","echo substr($cleanContent, 0, 200) . ""...\n\n"";","substr\s*\("
"test_final.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","60","echo substr($response['ollama_response'], 0, 200) . ""...\n"";","substr\s*\("
"test_full_cv.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","90","echo 'ÃƒÂ°Ã…Â¸Ã¢â‚¬Å“Ã‚Â Longitud del prompt: ' . strlen($prompt) . "" caracteres\n"";","strlen\s*\(\s*\$\w+\s*\)"
"test_full_cv.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","128","echo 'Raw: ' . substr($response, 0, 200) . ""...\n"";","substr\s*\("
"test_full_cv.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","145","echo substr($data['response'], 0, 300) . ""...\n"";","substr\s*\("
"test_full_cv.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","149","echo 'ÃƒÂ°Ã…Â¸Ã¢â‚¬â„¢Ã‚Â¡ NORMAL para un modelo 8B con prompt de ' . strlen($prompt) . "" caracteres\n"";","strlen\s*\(\s*\$\w+\s*\)"
"test_mistral_extended.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","49","echo 'ÃƒÂ¢Ã‚ÂÃ…â€™ Respuesta invÃƒÆ’Ã‚Â¡lida: ' . substr($response, 0, 200) . ""\n"";","substr\s*\("
"test_mistral_simple.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","46","echo 'ÃƒÂ¢Ã‚ÂÃ…â€™ Respuesta invÃƒÆ’Ã‚Â¡lida: ' . substr($response, 0, 200) . ""\n"";","substr\s*\("
"test_paso2.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\ai","36","echo substr($response['ollama_response'], 0, 200) . ""...\n\n"";","substr\s*\("
"callback.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\auth\google","49","$jobId = substr($state, 4);","substr\s*\("
"callback.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\auth\linkedin","49","$jobId = substr($state, 4);","substr\s*\("
"callback.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\auth\sso","67","$stmt = $pdo->prepare(""INSERT INTO bt_staff_sessions (id, staff_user_id, refresh_jti, expires_at, created_at) VALUES (UUID(), ?, ?, DATE_ADD(NOW(), INTERVAL 8 HOUR), NOW())"");","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
"social-login.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\auth","279","INSERT INTO usuarios (id, username, email, role, created_at)","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
"confirm.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\cv","292","$iexp = $pdo->prepare('INSERT INTO bt_candidate_experiences (candidate_id, company, position, start_date, end_date, current, description, location, created_at) VALUES (?,?,?,?,?,?,?,?,NOW())');","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
"confirm.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\cv","309","$iedu = $pdo->prepare('INSERT INTO bt_candidate_education (candidate_id, institution_name, degree_title, start_date, end_date, description, created_at) VALUES (?,?,?,?,?,?,NOW())');","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
"confirm.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\cv","366","'error_msg' => substr($e->getMessage(), 0, 120),","substr\s*\("
"confirm.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\cv","371","'message' => substr($e->getMessage(), 0, 150),","substr\s*\("
"delete.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\cv","92","Log::json('error', ['event' => 'cv_admin', 'action' => 'delete', 'error' => substr($e->getMessage(), 0, 120)]);","substr\s*\("
"export.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\cv","92","Log::json('error', ['event' => 'cv_admin', 'action' => 'export', 'error' => substr($e->getMessage(), 0, 120)]);","substr\s*\("
"parse.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\cv","172","if (mb_strlen($extractedText) < 50) {","strlen\s*\(\s*\$\w+\s*\)"
"parse.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api\cv","176","logCvParse('PDF_TEXT_TOO_SHORT', ['duration_ms' => $durMs, 'subtimings_ms' => $__cv_parse_sub, 'extracted_chars' => mb_strlen($extractedText)]);","strlen\s*\(\s*\$\w+\s*\)"
"analyze_cv.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","168","if (substr($fileContent, 0, 4) !== '%PDF') {","substr\s*\("
"analyze_cv.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","303","if (strlen($cvText) > MAX_TEXT_LENGTH) {","strlen\s*\(\s*\$\w+\s*\)"
"analyze_cv.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","303","if (strlen($cvText) > MAX_TEXT_LENGTH) {","if\s*\(\s*strlen"
"analyze_cv.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","373","'text_length' => $isPdfAnalysis ? 'PDF' : strlen($cvText),","strlen\s*\(\s*\$\w+\s*\)"
"applications.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","247","INSERT INTO bt_applications (candidate_id, job_id, status, cover_letter, created_at, updated_at)","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
"auth.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","95","if (strlen($password) < 6) {","strlen\s*\(\s*\$\w+\s*\)"
"auth.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","95","if (strlen($password) < 6) {","if\s*\(\s*strlen"
"auth_register.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","73","if (strlen($password) < 6) {","strlen\s*\(\s*\$\w+\s*\)"
"auth_register.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","73","if (strlen($password) < 6) {","if\s*\(\s*strlen"
"candidates.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","367","$skillStmt = $pdo->prepare('INSERT INTO bt_candidate_skills (candidate_id, skill) VALUES (:candidate_id, :skill)');","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
"candidates.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","371","if (!empty($cleanSkill) && strlen($cleanSkill) <= 100) {","strlen\s*\(\s*\$\w+\s*\)"
"candidates.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","487","if (strlen($skill) > 100) {","strlen\s*\(\s*\$\w+\s*\)"
"candidates.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","487","if (strlen($skill) > 100) {","if\s*\(\s*strlen"
"candidates.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","533","$skillStmt = $pdo->prepare('INSERT INTO bt_candidate_skills (candidate_id, skill) VALUES (:candidate_id, :skill)');","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
"candidates.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","537","if (!empty($cleanSkill) && strlen($cleanSkill) <= 100) {","strlen\s*\(\s*\$\w+\s*\)"
"change-password.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","91","if (strlen($newPassword) < 6) {","strlen\s*\(\s*\$\w+\s*\)"
"change-password.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","91","if (strlen($newPassword) < 6) {","if\s*\(\s*strlen"
"chatbot_analytics.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","69","$stmt = $db->prepare('INSERT INTO bt_chatbot_analytics (conversation_id, event_name, event_data, node_id, option_id, user_ip, user_agent, session_id) VALUES (?, ?, ?, ?, ?, ?, ?, ?)');","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
"chatbot_decision_tree.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","93","error_log(""chatbot_decision_tree.php: About to echo JSON. Length: "" . strlen($jsonOutput));","strlen\s*\(\s*\$\w+\s*\)"
"chatbot_nodes.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","57","$stmt = $db->prepare('INSERT INTO bt_chatbot_nodes (id, type, content, metadata, is_active, created_by) VALUES (?, ?, ?, ?, ?, ?)');","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
"chatbot_options.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","61","$stmt = $db->prepare('INSERT INTO bt_chatbot_options (id, node_id, text, next_node_id, action_type, action_data, order_position, is_active) VALUES (?, ?, ?, ?, ?, ?, ?, ?)');","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
"extract_skills.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","63","'text_length' => strlen($cvText)","strlen\s*\(\s*\$\w+\s*\)"
"health-ocr.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","48","$isWin = strtoupper(substr(PHP_OS, 0, 3)) === 'WIN';","substr\s*\("
"jobs.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","324","if (strlen($title) < 5 || strlen($title) > 100) {","strlen\s*\(\s*\$\w+\s*\)"
"jobs.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","324","if (strlen($title) < 5 || strlen($title) > 100) {","if\s*\(\s*strlen"
"save-notification-preferences.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","84","$preferenceId = 'pref-' . substr(uniqid(), -8);","substr\s*\("
"save-notification-preferences.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\api","86","INSERT INTO bt_notification_preferences (id, candidate_id, application_updates, new_jobs, reminders)","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
"test-debug.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\tools","57","if (strlen($result['response']) > 100) {","if\s*\(\s*strlen"
"test-debug.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\tools","58","echo ""    Response: "" . substr($result['response'], 0, 100) . ""...\n"";","substr\s*\("
"test-endpoints-enhanced.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\tools","229","$headers[] = 'Content-Length: ' . strlen($payload);","strlen\s*\(\s*\$\w+\s*\)"
"test-endpoints-enhanced.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\tools","380","$responsePreview = substr($result['response'], 0, 200) . (strlen($result['response']) > 200 ? '...' : '');","substr\s*\("
"test-endpoints-enhanced.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\tools","450","$responsePreview = substr($result['response'], 0, 200) . (strlen($result['response']) > 200 ? '...' : '');","substr\s*\("
"test-endpoints.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\tools","192","curl_setopt($ch, CURLOPT_HTTPHEADER, ['Content-Type: application/json', 'Accept: application/json', 'Content-Length: ' . strlen($payload)]);","strlen\s*\(\s*\$\w+\s*\)"
"test-endpoints.php","C:\laragon\www\bubble_of_talents_1.0\backend\public\tools","253","$responsePreview = substr($result['response'], 0, 200) . (strlen($result['response']) > 200 ? '...' : '');","substr\s*\("
"auto_change_password.php","C:\laragon\www\bubble_of_talents_1.0\backend\scripts","15","$password .= $chars[random_int(0, strlen($chars) - 1)];","strlen\s*\(\s*\$\w+\s*\)"
"change_candidate_password.php","C:\laragon\www\bubble_of_talents_1.0\backend\scripts","74","echo ""🔐 Hash generado: "" . substr($passwordHash, 0, 50) . ""...\n"";","substr\s*\("
"change_candidate_password.php","C:\laragon\www\bubble_of_talents_1.0\backend\scripts","89","return substr(str_shuffle($chars), 0, $length);","substr\s*\("
"change_candidate_password.php","C:\laragon\www\bubble_of_talents_1.0\backend\scripts","133","if (strlen($newPassword) < 6) {","strlen\s*\(\s*\$\w+\s*\)"
"change_candidate_password.php","C:\laragon\www\bubble_of_talents_1.0\backend\scripts","133","if (strlen($newPassword) < 6) {","if\s*\(\s*strlen"
"change_password_simple.php","C:\laragon\www\bubble_of_talents_1.0\backend\scripts","113","if (strlen($newPassword) < 6) {","strlen\s*\(\s*\$\w+\s*\)"
"change_password_simple.php","C:\laragon\www\bubble_of_talents_1.0\backend\scripts","113","if (strlen($newPassword) < 6) {","if\s*\(\s*strlen"
"debug_staff_login.php","C:\laragon\www\bubble_of_talents_1.0\backend\scripts","34","echo ""Hash: "" . substr($user['password_hash'], 0, 30) . ""...\n"";","substr\s*\("
"debug_staff_login.php","C:\laragon\www\bubble_of_talents_1.0\backend\scripts","58","echo ""  Hash almacenado: "" . substr($user['password_hash'], 0, 30) . ""...\n"";","substr\s*\("
"debug_staff_login.php","C:\laragon\www\bubble_of_talents_1.0\backend\scripts","67","echo ""  Hash que debería ser: "" . substr($newHash, 0, 30) . ""...\n"";","substr\s*\("
"get_candidate_info.php","C:\laragon\www\bubble_of_talents_1.0\backend\scripts","17","echo ""Password hash: "" . substr($candidate['password'], 0, 20) . ""...\n"";","substr\s*\("
"test_change_password.php","C:\laragon\www\bubble_of_talents_1.0\backend\scripts","25","$insertStmt = $db->prepare(""INSERT INTO bt_candidates (id, first_name, last_name, email, password_hash, created_at) VALUES (?, ?, ?, ?, ?, NOW())"");","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
"test_cookies_production_ready.php","C:\laragon\www\bubble_of_talents_1.0\backend\scripts","147","echo ""   ✓ Cookie access_token recibida: "" . substr($accessToken, 0, 50) . ""...\n"";","substr\s*\("
"test_httponly_cookies.php","C:\laragon\www\bubble_of_talents_1.0\backend\scripts","71","echo ""✓ Cookie access_token recibida: "" . substr($accessToken, 0, 50) . ""...\n\n"";","substr\s*\("
"test_httponly_cookies.php","C:\laragon\www\bubble_of_talents_1.0\backend\scripts","76","echo ""Body: "" . substr($protectedResponse['body'], 0, 200) . ""...\n\n"";","substr\s*\("
"update_staff_passwords.php","C:\laragon\www\bubble_of_talents_1.0\backend\scripts","40","echo ""   Hash generado: "" . substr($hashedPassword, 0, 20) . ""...\n\n"";","substr\s*\("
"verify_password_change.php","C:\laragon\www\bubble_of_talents_1.0\backend\scripts","15","echo ""Hash actual: "" . substr($candidate['password_hash'], 0, 30) . ""...\n\n"";","substr\s*\("
"AIController.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Controllers","37","'length' => strlen($text)","strlen\s*\(\s*\$\w+\s*\)"
"AuthMiddleware.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Middleware","27","$token = substr($authHeader, 7); // Eliminar ""Bearer ""","substr\s*\("
"AuthorizationMiddleware.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Middleware","33","$token = substr($authHeader, 7); // Remover ""Bearer ""","substr\s*\("
"BaseModel.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","323","if (is_int($id) || (is_string($id) && ctype_digit($id))) {","ctype_"
"Job.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","665","return substr(md5(serialize($keyData)), 0, 250);","substr\s*\("
"JobRequirement.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","817","if (strlen($data['requirement']) > 1000) {","if\s*\(\s*strlen"
"News.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","261","if (strlen($searchTerm) < 3) {","strlen\s*\(\s*\$\w+\s*\)"
"News.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","261","if (strlen($searchTerm) < 3) {","if\s*\(\s*strlen"
"News.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","617","if (strlen($plainText) <= $maxLength) {","strlen\s*\(\s*\$\w+\s*\)"
"News.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","617","if (strlen($plainText) <= $maxLength) {","if\s*\(\s*strlen"
"News.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","622","$excerpt = substr($plainText, 0, $maxLength);","substr\s*\("
"News.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","626","$excerpt = substr($excerpt, 0, $lastSpace);","substr\s*\("
"News.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","962","if (strlen($data['title']) > 255) {","if\s*\(\s*strlen"
"Notification.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","720","if (strlen($data['title']) > 255) {","if\s*\(\s*strlen"
"Recruiter.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","354","$sql = ""INSERT INTO bt_candidate_routing (candidate_id, recruiter_id, assigned_at, status)","INSERT\s+INTO\s+\w+\s*\([^)]*id[^)]*\)"
"Skill.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","323","'text_length' => strlen($text)","strlen\s*\(\s*\$\w+\s*\)"
"SocialLogin.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","472","$iv = substr($data, 0, 16);","substr\s*\("
"SocialLogin.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","473","$encrypted = substr($data, 16);","substr\s*\("
"User.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","281","if (strlen($data['password']) < 8) {","if\s*\(\s*strlen"
"User.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","348","if (strlen($data['password']) < 8) {","if\s*\(\s*strlen"
"User.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","532","'token' => substr($token, 0, 8) . '...'","substr\s*\("
"User.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","561","if (strlen($password) < 8) {","strlen\s*\(\s*\$\w+\s*\)"
"User.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","561","if (strlen($password) < 8) {","if\s*\(\s*strlen"
"User.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","1005","if (strlen($data['email']) > 255) {","if\s*\(\s*strlen"
"User.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","1019","if (strlen($data['name']) > 255) {","if\s*\(\s*strlen"
"User.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","1030","if (strlen($data['password']) < 8) {","if\s*\(\s*strlen"
"User.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Models","1033","if (strlen($data['password']) > 255) {","if\s*\(\s*strlen"
"AppRouter.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Router","315","$token = substr($authHeader, 7);","substr\s*\("
"SecurityLogger.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Security","44","'user_agent' => substr($userAgent, 0, 255), // Limitar longitud","substr\s*\("
"SecurityLogger.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Security","121","'token_preview' => $token ? substr($token, 0, 20) . '...' : 'none'","substr\s*\("
"AdvancedCVParser.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Services\CV","217","if (strlen($skill) > 2 && !preg_match('/^\d+$/', $skill)) {","strlen\s*\(\s*\$\w+\s*\)"
"AdvancedCVParser.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Services\CV","217","if (strlen($skill) > 2 && !preg_match('/^\d+$/', $skill)) {","if\s*\(\s*strlen"
"AdvancedCVParser.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Services\CV","333","if (strlen($line) > 5 && !preg_match('/^\d+$/', $line)) {","strlen\s*\(\s*\$\w+\s*\)"
"AdvancedCVParser.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Services\CV","333","if (strlen($line) > 5 && !preg_match('/^\d+$/', $line)) {","if\s*\(\s*strlen"
"AdvancedCVParser.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Services\CV","435","return substr($summary, 0, 150) . (strlen($summary) > 150 ? '...' : '');","strlen\s*\(\s*\$\w+\s*\)"
"AdvancedCVParser.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Services\CV","435","return substr($summary, 0, 150) . (strlen($summary) > 150 ? '...' : '');","substr\s*\("
"JobMatchingService.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Services\Matching","166","if (levenshtein($skill1, $skill2) <= 2 && strlen($skill1) > 3 && strlen($skill2) > 3) {","strlen\s*\(\s*\$\w+\s*\)"
"AIIntegrationService.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Services","348","if (strlen($cvText) > 1048576) { // 1MB limit","strlen\s*\(\s*\$\w+\s*\)"
"AIIntegrationService.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Services","348","if (strlen($cvText) > 1048576) { // 1MB limit","if\s*\(\s*strlen"
"AIIntegrationService.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Services","361","'text_length' => strlen($cvText),","strlen\s*\(\s*\$\w+\s*\)"
"AIIntegrationService.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Services","476","'Content-Length: ' . strlen($jsonData),","strlen\s*\(\s*\$\w+\s*\)"
"AIIntegrationService.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Services","632","if (!empty($cleanSkill) && strlen($cleanSkill) <= 100) {","strlen\s*\(\s*\$\w+\s*\)"
"AuthService.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Services","111","if (strlen($newPassword) < 6) {","strlen\s*\(\s*\$\w+\s*\)"
"AuthService.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Services","111","if (strlen($newPassword) < 6) {","if\s*\(\s*strlen"
"CodespacesService.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Services","164","throw new Exception(""HTTP {$httpCode}: "" . substr($response, 0, 200));","substr\s*\("
"CVParsingService.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Services","50","'char_count' => strlen($extractedText),","strlen\s*\(\s*\$\w+\s*\)"
"CVParsingService.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Services","144","'char_count' => strlen($text),","strlen\s*\(\s*\$\w+\s*\)"
"FileService.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Services","432","$safeName = substr($safeName, 0, 100); // Limitar longitud","substr\s*\("
"GroqApiService.php","C:\laragon\www\bubble_of_talents_1.0\backend\src\Services","85","error_log(""[GroqApiService] Texto extraÃƒÆ’Ã‚Â­do del PDF: "" . strlen($extractedText) . "" caracteres"");","strlen\s*\(\s*\$\w+\s*\)"
